Crime ID,Month,Reported by,Falls within,Longitude,Latitude,Location,LSOA code,LSOA name,Outcome type
7bd6ef40519f51807788f5e80f3a676f3ac243c0bb5e4a97b427faf77720b17f,2014-10,Dorset Police,Dorset Police,-2.435590,50.714287,On or near Supermarket,E01032644,West Dorset 009H,Investigation complete; no suspect identified
5a2066d4aa94b03ead5bbba92bca83b5c307f6a2aadaf2b3344632f80ea929d1,2014-10,Dorset Police,Dorset Police,-2.332063,50.724035,On or near WATERY LANE,E01020538,West Dorset 011C,Investigation complete; no suspect identified
f8f4831d38331dc381dff56c3a88414179818e2531cee238b4148ee7fc091892,2014-10,Dorset Police,Dorset Police,-1.891309,50.800751,On or near Petrol Station,E01020392,East Dorset 008C,Investigation complete; no suspect identified
236b1a09219670cfaa86de62e709936ce3246049cee6523298a91dbfdc8c11b5,2014-10,Dorset Police,Dorset Police,-2.456470,50.516085,On or near Parking Area,E01020566,Weymouth and Portland 009D,Investigation complete; no suspect identified
3318590fe3bb23d07201365201f7bd937d7d44697959304c3f4557ea13dfdbde,2014-10,Dorset Police,Dorset Police,-2.272945,51.037665,On or near SCHOOL ROAD,E01020443,North Dorset 001A,Investigation complete; no suspect identified
bf07cd1185a2493cad5a4414c4a1d2a6f14ded91507d7c6dc999bc3c84307672,2014-10,Dorset Police,Dorset Police,-2.420365,50.646430,On or near Supermarket,E01020558,Weymouth and Portland 002B,Investigation complete; no suspect identified
00502d19d3579c0c498abdf9111be829b0938c66089701476fe60a2fa41a06a5,2014-10,Dorset Police,Dorset Police,-1.765773,50.734579,On or near MONKSWELL GREEN,E01020364,Christchurch 006C,Investigation complete; no suspect identified
9458afbe7b4ea623e185afa9bb4fcb9a57c7641251dcab54ed57e926d3badd6b,2014-10,Dorset Police,Dorset Police,-2.741930,50.742056,On or near SHOE LANE,E01020501,West Dorset 006D,Investigation complete; no suspect identified
793e2a308d15398d430bf1ced92275fa92bb5c9ab1d1b9e7e2cb7b792fee5a87,2014-10,Dorset Police,Dorset Police,-1.839055,50.839880,On or near EVERGREENS,E01020406,East Dorset 004D,Investigation complete; no suspect identified
c8e1bed09eafc84b3a1a1052801068f033af1dea5c7d35f9f2f28fb43fd2a7ab,2014-10,Dorset Police,Dorset Police,-2.162148,50.860093,On or near Bus/Coach Station,E01020439,North Dorset 007E,Investigation complete; no suspect identified
2d7275de5d551b9c5e734776ceb604cff81dd1c0ca991d253c5210af67d3a34e,2014-10,Dorset Police,Dorset Police,-2.456214,50.600566,On or near BELLE VUE ROAD,E01020581,Weymouth and Portland 004E,Investigation complete; no suspect identified
c603405e629353e9facde72fad95ebefdfa70569ac445946038c817a049227bf,2014-10,Dorset Police,Dorset Police,-2.754173,50.726033,On or near MAPLE GARDENS,E01020504,West Dorset 008C,Investigation complete; no suspect identified
d8c850589810d7e24da51fb00d27ab58686ee2a1dcb69ddc48c78cdd0f716f52,2014-10,Dorset Police,Dorset Police,-2.754173,50.726033,On or near MAPLE GARDENS,E01020504,West Dorset 008C,Investigation complete; no suspect identified
707a0e0fb38d0af7e25a02b51ffdf23acb54a2ab6cf6760e3f1d46feabd01ec7,2014-10,Dorset Police,Dorset Police,-1.740546,50.727727,On or near VIKING WAY,E01020356,Christchurch 007C,Investigation complete; no suspect identified
