Crime ID,Month,Reported by,Falls within,Longitude,Latitude,Location,LSOA code,LSOA name,Outcome type
140cf98a5091fce981ad30960551a88e2f0975b2445c994db8ec392ebee62592,2014-10,Hertfordshire Constabulary,Hertfordshire Constabulary,-0.035262,51.685529,On or near BERKLEY AVENUE,E01023337,Broxbourne 013B,Investigation complete; no suspect identified
98458a716029f9e9b16ad582c311a45fff8161f42ad89519eaaace0535ed4e47,2014-10,Hertfordshire Constabulary,Hertfordshire Constabulary,-0.034575,51.692370,On or near THEOBALD'S GROVE,E01023332,Broxbourne 012A,Investigation complete; no suspect identified
a357c78d9933612cbcfbcced9c6651512cdeccde9f383b44c4df18d04542d880,2014-10,Hertfordshire Constabulary,Hertfordshire Constabulary,-0.029467,51.686367,On or near KING'S ROAD,E01023336,Broxbourne 013A,Investigation complete; no suspect identified
90b33f4318dcc3dc15331a35d8d3fe1b2defaa16a85143449cd500da5af109ba,2014-10,Hertfordshire Constabulary,Hertfordshire Constabulary,-0.033398,51.690480,On or near Supermarket,E01023332,Broxbourne 012A,Investigation complete; no suspect identified
0a6b26c518965b579ff1915d6e01e53eef7a2d3fcc6a1e0ca318474281640ec6,2014-10,Hertfordshire Constabulary,Hertfordshire Constabulary,-0.028363,51.702796,On or near WINDMILL LANE,E01023299,Broxbourne 010C,Investigation complete; no suspect identified
beb12fa5397e461f41b0c7c36664d1593ca1aa2dda5bf336c392b705b1cf6c10,2014-10,Hertfordshire Constabulary,Hertfordshire Constabulary,-0.030933,51.683271,On or near PARKSIDE,E01023337,Broxbourne 013B,Investigation complete; no suspect identified
ea2fbf69df5099bff938d4e737966c0e4eb1c18c5801731d0dd3990f39ffe54d,2014-10,Hertfordshire Constabulary,Hertfordshire Constabulary,-0.063172,51.708833,On or near CONIFER CLOSE,E01023314,Broxbourne 009A,Investigation complete; no suspect identified
44125ec108e5af4b37baa9179f9168e41275d5e199571be19e509c1c3323dbeb,2014-10,Hertfordshire Constabulary,Hertfordshire Constabulary,-0.033398,51.690480,On or near Supermarket,E01023332,Broxbourne 012A,Investigation complete; no suspect identified
e849569507994ae181e06cb0cff2e496033e2f7997a7be29578e92cf02cbb357,2014-10,Hertfordshire Constabulary,Hertfordshire Constabulary,-0.027671,51.716380,On or near CHESHUNT WASH,E01023305,Broxbourne 008D,Investigation complete; no suspect identified
1bf854175eaf8483cb3a1a9227756f600d54d2cbde21321b6616e46473490d22,2014-10,Hertfordshire Constabulary,Hertfordshire Constabulary,-0.094005,51.716333,On or near NEWGATESTREET ROAD,E01023313,Broxbourne 007C,Investigation complete; no suspect identified
