Crime ID,Month,Reported by,Falls within,Longitude,Latitude,Location,LSOA code,LSOA name,Outcome type
e45fa184290e846df2f6c55c00a284e5a0a8098e51b7c080f37f3b9c302ad4a4,2014-09,Norfolk Constabulary,Norfolk Constabulary,1.298933,52.631149,On or near TOMBLAND,E01033438,Norwich 014A,Investigation complete; no suspect identified
8238844f9ef67fbe1e415210f4a4373f711d43db41664fbbd4ba7ea67d88f12f,2014-09,Norfolk Constabulary,Norfolk Constabulary,0.208705,52.644040,On or near HAGBECH HALL CLOSE,E01026660,King's Lynn and West Norfolk 016B,Investigation complete; no suspect identified
353c6e47e733251d627dee20fc8489f9811166a71ed033bd31aa2025b251aa10,2014-09,Norfolk Constabulary,Norfolk Constabulary,1.723398,52.573869,On or near DOWNING COURT,E01026631,Great Yarmouth 010E,Investigation complete; no suspect identified
76ec7f0b2f373797e0cb3a9e73ba6b42e0ef53d9ca49b52dc70f476095ca9212,2014-09,Norfolk Constabulary,Norfolk Constabulary,0.298416,52.526656,On or near Parking Area,E01026679,King's Lynn and West Norfolk 018A,Investigation complete; no suspect identified
2afa0bd21c10374dd399c20fd037eaf48e8da39d4a27f6a457d112e797d5ea54,2014-09,Norfolk Constabulary,Norfolk Constabulary,0.942301,52.682331,On or near WELLINGTON ROAD,E01026429,Breckland 003B,Investigation complete; no suspect identified
b726de40f9e52cc367da2dabf2661f02e134ccb47b48b58baae73130887c2889,2014-09,Norfolk Constabulary,Norfolk Constabulary,0.752421,52.921062,On or near B1355,E01026646,King's Lynn and West Norfolk 002B,Investigation complete; no suspect identified
962164346a1d61a728c706fd949830f124c11a998e32106005bcf63450869c18,2014-09,Norfolk Constabulary,Norfolk Constabulary,1.429801,52.623886,On or near YARE VALLEY RISE,E01026509,Broadland 017B,Investigation complete; no suspect identified
d2c5ffcac6526b6b64d86e29eda3e15f091e0f9a795cdc374cf538fe0549d28b,2014-09,Norfolk Constabulary,Norfolk Constabulary,0.717583,52.859864,On or near THE STREET,E01026695,King's Lynn and West Norfolk 002D,Investigation complete; no suspect identified
fca65e03edb9f220bcb657acedf64e3ecd52e8bfd1b89fd4b5b0367fd26fcbc4,2014-09,Norfolk Constabulary,Norfolk Constabulary,1.302641,52.628968,On or near PRINCE OF WALES ROAD,E01033438,Norwich 014A,Investigation complete; no suspect identified
31c7c87d4b1e1cedb36e78aadfd09d6a36c734bbd0365a0edc1e2fc59e2ae193,2014-09,Norfolk Constabulary,Norfolk Constabulary,1.297243,52.637564,On or near MAGDALEN CLOSE,E01026826,Norwich 007E,Investigation complete; no suspect identified
cd9d84c2c8fed843e73243f6cb6115f63b0fb0c348ebf4d475034d6d9cce33a8,2014-09,Norfolk Constabulary,Norfolk Constabulary,0.429189,52.762713,On or near EDINBURGH AVENUE,E01026693,King's Lynn and West Norfolk 009D,Investigation complete; no suspect identified
84721318482ee4450da8f6fce414b393e80ae8d526a4dba1bf41f8c60d226e1d,2014-09,Norfolk Constabulary,Norfolk Constabulary,0.849570,52.837371,On or near ST PETER'S ROAD,E01026745,North Norfolk 011A,Investigation complete; no suspect identified
e08e6e3785d2d0cee58e149233541e7ce40a7a3ee8c9ab695cec516e253470d1,2014-09,Norfolk Constabulary,Norfolk Constabulary,1.305337,52.632571,On or near BISHOPGATE,E01033438,Norwich 014A,Investigation complete; no suspect identified
5107e744bcec253db2a7c02f95dd6472211d52af0e42e81cc7aa916e5c8fbb3c,2014-09,Norfolk Constabulary,Norfolk Constabulary,1.641658,52.543144,On or near BECCLES ROAD,E01026613,Great Yarmouth 012A,Investigation complete; no suspect identified
b734b0ae0581791befcd1680f024476ac686f6fea08e0633947294c09536a99f,2014-09,Norfolk Constabulary,Norfolk Constabulary,1.280087,52.623255,On or near YORK STREET,E01026856,Norwich 011E,Investigation complete; no suspect identified
908162e4f72f25385cbf67a9548cd8464ca9b5d5df0dc8b08b352d6031fc02d0,2014-09,Norfolk Constabulary,Norfolk Constabulary,0.431574,52.749662,On or near FERNLEA ROAD,E01026662,King's Lynn and West Norfolk 010A,Investigation complete; no suspect identified
5f66c51a8930858e9d3e8b4c0e3f0d4b3b12b4eabc106e434ce73cf02def94ae,2014-09,Norfolk Constabulary,Norfolk Constabulary,0.651587,52.783549,On or near CHURCH LANE,E01026718,King's Lynn and West Norfolk 004D,Investigation complete; no suspect identified
31a432672ec15e2815827e9e1ec1939dcd1f0b75adc11f9f367da72f14a18b65,2014-09,Norfolk Constabulary,Norfolk Constabulary,0.977611,52.571636,On or near ATTLEBOROUGH ROAD,E01026910,South Norfolk 004B,Investigation complete; no suspect identified
6431bb94443ab82b3a5a24ba4f178806364d4ee52550c0999a15d0af2f60c09c,2014-09,Norfolk Constabulary,Norfolk Constabulary,1.267210,52.664613,On or near WINDSOR ROAD,E01026532,Broadland 011C,Investigation complete; no suspect identified
