12 months ending,Police force area,Region,Offence,Rolling year total number of offences
31/03/2012,Surrey,South East,Criminal damage and arson,10932
31/03/2012,Surrey,South East,Domestic burglary,3404
31/03/2012,Surrey,South East,Drug offences,3703
31/03/2012,Surrey,South East,Fraud offences to 2012/13,1188
31/03/2012,Surrey,South East,Homicide,5
31/03/2012,Surrey,South East,Miscellaneous crimes against society,821
31/03/2012,Surrey,South East,Non-domestic burglary,4504
31/03/2012,Surrey,South East,Possession of weapons offences,352
31/03/2012,Surrey,South East,Public order offences,2718
31/03/2012,Surrey,South East,Robbery,375
31/03/2012,Surrey,South East,Sexual offences,619
31/03/2012,Surrey,South East,Shoplifting,4461
31/03/2012,Surrey,South East,Theft from the person,430
31/03/2012,Surrey,South East,Vehicle offences,6736
31/03/2012,Surrey,South East,Violence with injury,3411
31/03/2012,Surrey,South East,Violence without injury,6283
31/03/2012,Sussex,South East,All other theft offences,16475
31/03/2012,Sussex,South East,Bicycle theft,3032
31/03/2012,Sussex,South East,Criminal damage and arson,16857
31/03/2012,Sussex,South East,Domestic burglary,3370
31/03/2012,Sussex,South East,Drug offences,4970
31/03/2012,Sussex,South East,Fraud offences to 2012/13,2252
31/03/2012,Sussex,South East,Homicide,7
31/03/2012,Sussex,South East,Miscellaneous crimes against society,1130
31/03/2012,Sussex,South East,Non-domestic burglary,6604
31/03/2012,Sussex,South East,Possession of weapons offences,601
31/03/2012,Sussex,South East,Public order offences,3073
31/03/2012,Sussex,South East,Robbery,749
31/03/2012,Sussex,South East,Sexual offences,1465
31/03/2012,Sussex,South East,Shoplifting,8635
31/03/2012,Sussex,South East,Theft from the person,3326
31/03/2012,Sussex,South East,Vehicle offences,8902
31/03/2012,Sussex,South East,Violence with injury,6837
31/03/2012,Sussex,South East,Violence without injury,8261
31/03/2012,Thames Valley,South East,All other theft offences,26810
31/03/2012,Thames Valley,South East,Bicycle theft,7069
31/03/2012,Thames Valley,South East,Criminal damage and arson,21797
31/03/2012,Thames Valley,South East,Domestic burglary,8815
31/03/2012,Thames Valley,South East,Drug offences,7297
31/03/2012,Thames Valley,South East,Fraud offences to 2012/13,2736
31/03/2012,Thames Valley,South East,Homicide,16
31/03/2012,Thames Valley,South East,Miscellaneous crimes against society,1769
31/03/2012,Thames Valley,South East,Non-domestic burglary,10046
31/03/2012,Thames Valley,South East,Possession of weapons offences,796
31/03/2012,Thames Valley,South East,Public order offences,6015
31/03/2012,Thames Valley,South East,Robbery,1724
31/03/2012,Thames Valley,South East,Sexual offences,1950
31/03/2012,Thames Valley,South East,Shoplifting,13277
31/03/2012,Thames Valley,South East,Theft from the person,2908
31/03/2012,Thames Valley,South East,Vehicle offences,15171
31/03/2012,Thames Valley,South East,Violence with injury,9312
31/03/2012,Thames Valley,South East,Violence without injury,12298
31/03/2012,Warwickshire,West Midlands,All other theft offences,6651
31/03/2012,Warwickshire,West Midlands,Bicycle theft,886
31/03/2012,Warwickshire,West Midlands,Criminal damage and arson,5386
31/03/2012,Warwickshire,West Midlands,Domestic burglary,2270
31/03/2012,Warwickshire,West Midlands,Drug offences,1091
31/03/2012,Warwickshire,West Midlands,Fraud offences to 2012/13,632
31/03/2012,Warwickshire,West Midlands,Homicide,4
31/03/2012,Warwickshire,West Midlands,Miscellaneous crimes against society,239
31/03/2012,Warwickshire,West Midlands,Non-domestic burglary,3306
31/03/2012,Warwickshire,West Midlands,Possession of weapons offences,124
31/03/2012,Warwickshire,West Midlands,Public order offences,985
31/03/2012,Warwickshire,West Midlands,Robbery,323
31/03/2012,Warwickshire,West Midlands,Sexual offences,463
31/03/2012,Warwickshire,West Midlands,Shoplifting,2121
31/03/2012,Warwickshire,West Midlands,Theft from the person,342
31/03/2012,Warwickshire,West Midlands,Vehicle offences,4517
31/03/2012,Warwickshire,West Midlands,Violence with injury,2880
31/03/2012,Warwickshire,West Midlands,Violence without injury,1641
31/03/2012,West Mercia,West Midlands,All other theft offences,12131
31/03/2012,West Mercia,West Midlands,Bicycle theft,1464
31/03/2012,West Mercia,West Midlands,Criminal damage and arson,12128
31/03/2012,West Mercia,West Midlands,Domestic burglary,3027
31/03/2012,West Mercia,West Midlands,Drug offences,3014
31/03/2012,West Mercia,West Midlands,Fraud offences to 2012/13,1553
31/03/2012,West Mercia,West Midlands,Homicide,8
31/03/2012,West Mercia,West Midlands,Miscellaneous crimes against society,835
31/03/2012,West Mercia,West Midlands,Non-domestic burglary,5390
31/03/2012,West Mercia,West Midlands,Possession of weapons offences,425
31/03/2012,West Mercia,West Midlands,Public order offences,2443
31/03/2012,West Mercia,West Midlands,Robbery,470
31/03/2012,West Mercia,West Midlands,Sexual offences,1269
31/03/2012,West Mercia,West Midlands,Shoplifting,5688
31/03/2012,West Mercia,West Midlands,Theft from the person,623
31/03/2012,West Mercia,West Midlands,Vehicle offences,6982
31/03/2012,West Mercia,West Midlands,Violence with injury,7188
31/03/2012,West Mercia,West Midlands,Violence without injury,4944
31/03/2012,West Midlands,West Midlands,All other theft offences,27658
31/03/2012,West Midlands,West Midlands,Bicycle theft,3481
31/03/2012,West Midlands,West Midlands,Criminal damage and arson,30485
31/03/2012,West Midlands,West Midlands,Domestic burglary,15898
31/03/2012,West Midlands,West Midlands,Drug offences,9218
31/03/2012,West Midlands,West Midlands,Fraud offences to 2012/13,2712
31/03/2012,West Midlands,West Midlands,Homicide,41
31/03/2012,West Midlands,West Midlands,Miscellaneous crimes against society,2246
31/03/2012,West Midlands,West Midlands,Non-domestic burglary,12272
31/03/2012,West Midlands,West Midlands,Possession of weapons offences,1453
31/03/2012,West Midlands,West Midlands,Public order offences,5348
31/03/2012,West Midlands,West Midlands,Robbery,7260
31/03/2012,West Midlands,West Midlands,Sexual offences,2672
31/03/2012,West Midlands,West Midlands,Shoplifting,13737
31/03/2012,West Midlands,West Midlands,Theft from the person,3764
31/03/2012,West Midlands,West Midlands,Vehicle offences,25096
31/03/2012,West Midlands,West Midlands,Violence with injury,19893
31/03/2012,West Midlands,West Midlands,Violence without injury,10296
31/03/2012,West Yorkshire,Yorkshire and the Humber,All other theft offences,32655
31/03/2012,West Yorkshire,Yorkshire and the Humber,Bicycle theft,2604
31/03/2012,West Yorkshire,Yorkshire and the Humber,Criminal damage and arson,29458
31/03/2012,West Yorkshire,Yorkshire and the Humber,Domestic burglary,17806
31/03/2012,West Yorkshire,Yorkshire and the Humber,Drug offences,7507
31/03/2012,West Yorkshire,Yorkshire and the Humber,Fraud offences to 2012/13,1996
31/03/2012,West Yorkshire,Yorkshire and the Humber,Homicide,47
31/03/2012,West Yorkshire,Yorkshire and the Humber,Miscellaneous crimes against society,2284
31/03/2012,West Yorkshire,Yorkshire and the Humber,Non-domestic burglary,15455
31/03/2012,West Yorkshire,Yorkshire and the Humber,Possession of weapons offences,777
31/03/2012,West Yorkshire,Yorkshire and the Humber,Public order offences,5202
31/03/2012,West Yorkshire,Yorkshire and the Humber,Robbery,2431
31/03/2012,West Yorkshire,Yorkshire and the Humber,Sexual offences,1821
31/03/2012,West Yorkshire,Yorkshire and the Humber,Shoplifting,12541
31/03/2012,West Yorkshire,Yorkshire and the Humber,Theft from the person,5165
31/03/2012,West Yorkshire,Yorkshire and the Humber,Vehicle offences,23463
31/03/2012,West Yorkshire,Yorkshire and the Humber,Violence with injury,13330
31/03/2012,West Yorkshire,Yorkshire and the Humber,Violence without injury,9543
31/03/2012,Wiltshire,South West,All other theft offences,6027
31/03/2012,Wiltshire,South West,Bicycle theft,1169
31/03/2012,Wiltshire,South West,Criminal damage and arson,6867
31/03/2012,Wiltshire,South West,Domestic burglary,1342
31/03/2012,Wiltshire,South West,Drug offences,1228
31/03/2012,Wiltshire,South West,Fraud offences to 2012/13,612
31/03/2012,Wiltshire,South West,Homicide,3
31/03/2012,Wiltshire,South West,Miscellaneous crimes against society,284
31/03/2012,Wiltshire,South West,Non-domestic burglary,3316
31/03/2012,Wiltshire,South West,Possession of weapons offences,145
31/03/2012,Wiltshire,South West,Public order offences,866
31/03/2012,Wiltshire,South West,Robbery,246
31/03/2012,Wiltshire,South West,Sexual offences,556
31/03/2012,Wiltshire,South West,Shoplifting,3293
31/03/2012,Wiltshire,South West,Theft from the person,363
31/03/2012,Wiltshire,South West,Vehicle offences,3884
31/03/2012,Wiltshire,South West,Violence with injury,3459
31/03/2012,Wiltshire,South West,Violence without injury,2386
30/06/2012,Avon and Somerset,South West,All other theft offences,16090
30/06/2012,Avon and Somerset,South West,Bicycle theft,3499
30/06/2012,Avon and Somerset,South West,Criminal damage and arson,17900
30/06/2012,Avon and Somerset,South West,Domestic burglary,4984
30/06/2012,Avon and Somerset,South West,Drug offences,7044
30/06/2012,Avon and Somerset,South West,Fraud offences to 2012/13,1990
30/06/2012,Avon and Somerset,South West,Homicide,13
30/06/2012,Avon and Somerset,South West,Miscellaneous crimes against society,1637
30/06/2012,Avon and Somerset,South West,Non-domestic burglary,7858
30/06/2012,Avon and Somerset,South West,Possession of weapons offences,509
30/06/2012,Avon and Somerset,South West,Public order offences,6323
30/06/2012,Avon and Somerset,South West,Robbery,1184
30/06/2012,Avon and Somerset,South West,Sexual offences,1466
30/06/2012,Avon and Somerset,South West,Shoplifting,11125
30/06/2012,Avon and Somerset,South West,Theft from the person,1543
30/06/2012,Avon and Somerset,South West,Vehicle offences,9964
30/06/2012,Avon and Somerset,South West,Violence with injury,9181
30/06/2012,Avon and Somerset,South West,Violence without injury,8612
30/06/2012,Bedfordshire,East of England,All other theft offences,5351
30/06/2012,Bedfordshire,East of England,Bicycle theft,859
30/06/2012,Bedfordshire,East of England,Criminal damage and arson,6525
30/06/2012,Bedfordshire,East of England,Domestic burglary,3043
30/06/2012,Bedfordshire,East of England,Drug offences,1734
30/06/2012,Bedfordshire,East of England,Fraud offences to 2012/13,843
30/06/2012,Bedfordshire,East of England,Homicide,10
30/06/2012,Bedfordshire,East of England,Miscellaneous crimes against society,432
30/06/2012,Bedfordshire,East of England,Non-domestic burglary,2219
30/06/2012,Bedfordshire,East of England,Possession of weapons offences,285
30/06/2012,Bedfordshire,East of England,Public order offences,1153
30/06/2012,Bedfordshire,East of England,Robbery,849
30/06/2012,Bedfordshire,East of England,Sexual offences,339
30/06/2012,Bedfordshire,East of England,Shoplifting,3447
30/06/2012,Bedfordshire,East of England,Theft from the person,621
30/06/2012,Bedfordshire,East of England,Vehicle offences,4510
30/06/2012,Bedfordshire,East of England,Violence with injury,3767
30/06/2012,Bedfordshire,East of England,Violence without injury,2817
30/06/2012,British Transport Police,British Transport Police,All other theft offences,9997
30/06/2012,British Transport Police,British Transport Police,Bicycle theft,5598
30/06/2012,British Transport Police,British Transport Police,Criminal damage and arson,5133
30/06/2012,British Transport Police,British Transport Police,Domestic burglary,1
30/06/2012,British Transport Police,British Transport Police,Drug offences,3463
30/06/2012,British Transport Police,British Transport Police,Fraud offences to 2012/13,487
30/06/2012,British Transport Police,British Transport Police,Homicide,1
30/06/2012,British Transport Police,British Transport Police,Miscellaneous crimes against society,861
30/06/2012,British Transport Police,British Transport Police,Non-domestic burglary,586
30/06/2012,British Transport Police,British Transport Police,Possession of weapons offences,353
30/06/2012,British Transport Police,British Transport Police,Public order offences,6280
30/06/2012,British Transport Police,British Transport Police,Robbery,576
30/06/2012,British Transport Police,British Transport Police,Sexual offences,709
30/06/2012,British Transport Police,British Transport Police,Shoplifting,1715
30/06/2012,British Transport Police,British Transport Police,Theft from the person,7495
30/06/2012,British Transport Police,British Transport Police,Vehicle offences,1816
30/06/2012,British Transport Police,British Transport Police,Violence with injury,2282
30/06/2012,British Transport Police,British Transport Police,Violence without injury,3870
30/06/2012,Cambridgeshire,East of England,All other theft offences,7897
30/06/2012,Cambridgeshire,East of England,Bicycle theft,3582
30/06/2012,Cambridgeshire,East of England,Criminal damage and arson,7735
30/06/2012,Cambridgeshire,East of England,Domestic burglary,2807
30/06/2012,Cambridgeshire,East of England,Drug offences,2842
30/06/2012,Cambridgeshire,East of England,Fraud offences to 2012/13,1038
30/06/2012,Cambridgeshire,East of England,Homicide,6
30/06/2012,Cambridgeshire,East of England,Miscellaneous crimes against society,486
30/06/2012,Cambridgeshire,East of England,Non-domestic burglary,3318
30/06/2012,Cambridgeshire,East of England,Possession of weapons offences,237
30/06/2012,Cambridgeshire,East of England,Public order offences,1791
30/06/2012,Cambridgeshire,East of England,Robbery,415
30/06/2012,Cambridgeshire,East of England,Sexual offences,629
30/06/2012,Cambridgeshire,East of England,Shoplifting,4232
30/06/2012,Cambridgeshire,East of England,Theft from the person,1077
30/06/2012,Cambridgeshire,East of England,Vehicle offences,4695
30/06/2012,Cambridgeshire,East of England,Violence with injury,3614
30/06/2012,Cambridgeshire,East of England,Violence without injury,3739
30/06/2012,Cheshire,North West,All other theft offences,8890
30/06/2012,Cheshire,North West,Bicycle theft,1589
30/06/2012,Cheshire,North West,Criminal damage and arson,10426
30/06/2012,Cheshire,North West,Domestic burglary,3037
30/06/2012,Cheshire,North West,Drug offences,3230
30/06/2012,Cheshire,North West,Fraud offences to 2012/13,631
30/06/2012,Cheshire,North West,Homicide,3
30/06/2012,Cheshire,North West,Miscellaneous crimes against society,631
30/06/2012,Cheshire,North West,Non-domestic burglary,4429
30/06/2012,Cheshire,North West,Possession of weapons offences,287
30/06/2012,Cheshire,North West,Public order offences,1839
30/06/2012,Cheshire,North West,Robbery,326
30/06/2012,Cheshire,North West,Sexual offences,715
30/06/2012,Cheshire,North West,Shoplifting,5992
30/06/2012,Cheshire,North West,Theft from the person,702
30/06/2012,Cheshire,North West,Vehicle offences,5350
30/06/2012,Cheshire,North West,Violence with injury,5320
30/06/2012,Cheshire,North West,Violence without injury,4675
30/06/2012,Cleveland,North East,All other theft offences,6032
30/06/2012,Cleveland,North East,Bicycle theft,1088
30/06/2012,Cleveland,North East,Criminal damage and arson,8942
30/06/2012,Cleveland,North East,Domestic burglary,2349
30/06/2012,Cleveland,North East,Drug offences,2114
30/06/2012,Cleveland,North East,Fraud offences to 2012/13,367
30/06/2012,Cleveland,North East,Homicide,3
30/06/2012,Cleveland,North East,Miscellaneous crimes against society,452
30/06/2012,Cleveland,North East,Non-domestic burglary,2600
30/06/2012,Cleveland,North East,Possession of weapons offences,292
30/06/2012,Cleveland,North East,Public order offences,1343
30/06/2012,Cleveland,North East,Robbery,262
30/06/2012,Cleveland,North East,Sexual offences,568
30/06/2012,Cleveland,North East,Shoplifting,4971
30/06/2012,Cleveland,North East,Theft from the person,381
30/06/2012,Cleveland,North East,Vehicle offences,3268
