Crime ID,Month,Reported by,Falls within,Longitude,Latitude,Location,LSOA code,LSOA name,Outcome type
f48477dbe15b32c0b4e8e1ea7858d9ef1a47549993aab52de207bd7f122b3e43,2014-04,Hertfordshire Constabulary,Hertfordshire Constabulary,,,No location,,,Offender given a caution
18ff361082c01d248da3a63b1a1f5633224cc42fe50a7ddc2034d5671d6ac480,2014-04,Hertfordshire Constabulary,Hertfordshire Constabulary,-0.030653,51.685713,On or near ELEANOR CROSS ROAD,E01023337,Broxbourne 013B,Investigation complete; no suspect identified
f73d390501157eeac8cf06a5d97ea5d519508af8770d362fddce9246f528f3ec,2014-04,Hertfordshire Constabulary,Hertfordshire Constabulary,-0.044276,51.708997,On or near THE MEAD,E01023310,Broxbourne 006D,Investigation complete; no suspect identified
c0242ad8d276b2be71ad4235eda8a13e6d0c5dca9fab8755fc3e7b6bd6b7d92c,2014-04,Hertfordshire Constabulary,Hertfordshire Constabulary,-0.035566,51.698546,On or near HILLSIDE AVENUE,E01023334,Broxbourne 012C,Investigation complete; no suspect identified
1d30302c9a135c8799a408b9ac96eb6714d20d17f3f00f32a163c2ade98b77f5,2014-04,Hertfordshire Constabulary,Hertfordshire Constabulary,-0.033873,51.685191,On or near Parking Area,E01023337,Broxbourne 013B,Investigation complete; no suspect identified
68b25dfe5043636eb83ff7cd7453159418e040ed8894d19ba00dc8f7348e28db,2014-04,Hertfordshire Constabulary,Hertfordshire Constabulary,-0.032427,51.710184,On or near AUDWICK CLOSE,E01023304,Broxbourne 008C,Investigation complete; no suspect identified
f106779eec7ba898701a0b7280d43de776f66799144eb95b9969f50332f9e8f4,2014-04,Hertfordshire Constabulary,Hertfordshire Constabulary,-0.021188,51.686129,On or near ELEANOR WAY,E01023338,Broxbourne 013C,Investigation complete; no suspect identified
a59e70e11d2ce850f19939f16c8b6e727ce3e606c511cb38468a0436b8a4414d,2014-04,Hertfordshire Constabulary,Hertfordshire Constabulary,-0.044662,51.711449,On or near WHITEFIELDS ROAD,E01023310,Broxbourne 006D,Investigation complete; no suspect identified
d6b6179df59d2751dbde2d8643d34cc472d8c6ac73ba7d5bf33fecb97226c8e1,2014-04,Hertfordshire Constabulary,Hertfordshire Constabulary,-0.040375,51.710155,On or near Petrol Station,E01023303,Broxbourne 008B,Investigation complete; no suspect identified
8f2ed641b7f1ff630374ebdfe25b6d1306ec604e1d8621cd10521c4fdcb2ff23,2014-04,Hertfordshire Constabulary,Hertfordshire Constabulary,-0.071983,51.719796,On or near STOCKBRIDGE CLOSE,E01023312,Broxbourne 007B,Investigation complete; no suspect identified
7e5d4dff49710fe4ad485840521699ab06dfb27cc7b9eebd317fccd3f6ec48de,2014-04,Hertfordshire Constabulary,Hertfordshire Constabulary,-0.032062,51.707920,On or near BELLAMY ROAD,E01023298,Broxbourne 010B,Investigation complete; no suspect identified
