Crime ID,Month,Reported by,Falls within,Longitude,Latitude,Location,LSOA code,LSOA name,Outcome type
67cce5fa6965ed510517628d23991ba82712aebfe2cce7c9b8358bf21f98ad55,2013-09,Northamptonshire Police,Northamptonshire Police,-0.937431,52.239524,On or near Supermarket,E01027237,Northampton 024C,Investigation complete; no suspect identified
9c6c84b0f377d51c87d6c713609ad3d8793b6c0369c4ba54e7df505e5341d517,2013-09,Northamptonshire Police,Northamptonshire Police,-0.899318,52.226786,On or near HAINES ROAD,E01032981,Northampton 028F,Investigation complete; no suspect identified
601fc5960bbcc5fd46322eb91c1cfa141096da9be76b2169bf5536c68003ec2b,2013-09,Northamptonshire Police,Northamptonshire Police,-0.899318,52.226786,On or near HAINES ROAD,E01032981,Northampton 028F,Investigation complete; no suspect identified
ca4578fdffafff539788718b8953de55cddd87abd71bedeec2ae8d8cb566df96,2013-09,Northamptonshire Police,Northamptonshire Police,-0.587675,52.310483,On or near PEVERIL CLOSE,E01027037,East Northamptonshire 007D,Investigation complete; no suspect identified
4b57bd49c69ac13eb423ec483ac4f9cfbbe571ef4b5302fd0da785d7e0698913,2013-09,Northamptonshire Police,Northamptonshire Police,-0.697794,52.382433,On or near CREIGHTON CRESCENT,E01027085,Kettering 010B,Investigation complete; no suspect identified
1969c020ee37e9f281804f2c3adc78711b66f37bebedddfad7d0cce5d3475325,2013-09,Northamptonshire Police,Northamptonshire Police,-0.897743,52.251334,On or near MONARCH ROAD,E01027185,Northampton 015B,Investigation complete; no suspect identified
a03a175ec85c0a90d7d3035f02885c0f4164cb6b5d05dbc429a88a0e64d60f8e,2013-09,Northamptonshire Police,Northamptonshire Police,-0.860387,52.268529,On or near BECKET WAY,E01027219,Northampton 002B,Investigation complete; no suspect identified
a1a78a7f8bb4b86bca5985c01d3c039d2708b73dda721562e39d2998148f1b4e,2013-09,Northamptonshire Police,Northamptonshire Police,-1.086522,52.294859,On or near Pedestrian Subway,E01027017,Daventry 009B,Investigation complete; no suspect identified
955e80184112c190a81cccc6ed1c53cdf9a566029ad657e9fe136343225cbf4e,2013-09,Northamptonshire Police,Northamptonshire Police,-1.175359,52.253383,On or near GROVELANDS,E01027007,Daventry 008A,Investigation complete; no suspect identified
2402ae68d7a931ec8810170615be960a23a65d2b30b991a79cc8553b3424898b,2013-09,Northamptonshire Police,Northamptonshire Police,-0.896754,52.239843,On or near Pedestrian Subway,E01027153,Northampton 021C,Investigation complete; no suspect identified
b7458d079e80d8a2b14d6ca082a96a287746442b01accf435b56fc0653e6cfe4,2013-09,Northamptonshire Police,Northamptonshire Police,-0.812915,52.243507,On or near Theme/Adventure Park,E01027140,Northampton 011A,Investigation complete; no suspect identified
0169a6cd0cef62813a40c375a1d2f52c8104e46557fba4473bb55a1a02f24bcd,2013-09,Northamptonshire Police,Northamptonshire Police,-0.612284,52.292829,On or near GRAVELY STREET,E01027064,East Northamptonshire 008D,Investigation complete; no suspect identified
62ad311222f3cba4a349d9f0875b8aa192abd120e2d4c0691b2e5cdb193e50ec,2013-09,Northamptonshire Police,Northamptonshire Police,-1.160668,52.258674,On or near CHAPEL LANE,E01026992,Daventry 007D,Investigation complete; no suspect identified
59e3adc06c56ed266b3ada317906dba61e104ee409c2d8a6241c076ffd92f87d,2013-09,Northamptonshire Police,Northamptonshire Police,-0.899131,52.239668,On or near Parking Area,E01032979,Northampton 021F,Investigation complete; no suspect identified
5088540014058d5a5f97477744e886ab740307604594e1a5472f30b5b8adb883,2013-09,Northamptonshire Police,Northamptonshire Police,-0.703044,52.465978,On or near TOWCESTER CLOSE,E01032967,Corby 009F,Investigation complete; no suspect identified
4b515e9c382114df3c4809d17d62935d5365d4daf24112771774f470b243adbf,2013-09,Northamptonshire Police,Northamptonshire Police,-0.687525,52.497750,On or near TELFORDS CLOSE,E01026958,Corby 003B,Investigation complete; no suspect identified
9a9ac5e065ef7ed43f9a87cbf3c904c0e2137fb15be86e0c1dee66b6825c38e0,2013-09,Northamptonshire Police,Northamptonshire Police,-1.270571,52.021196,On or near GLEBE RISE,E01027288,South Northamptonshire 011A,Investigation complete; no suspect identified
