Crime ID,Month,Reported by,Falls within,Longitude,Latitude,Location,LSOA code,LSOA name,Outcome type
648435a35196ce7cbde91894d5ac8ee1454e05fb33fd7cd3f2d128d73fc219a6,2013-09,Cambridgeshire Constabulary,Cambridgeshire Constabulary,0.089222,52.561465,On or near Park/Open Space,E01018084,Fenland 005D,Investigation complete; no suspect identified
a6679c8bf30b3c94cfaac9ed5c62938975a1ed21c21626d0bdd76516892ac353,2013-09,Cambridgeshire Constabulary,Cambridgeshire Constabulary,0.124486,52.095361,On or near PEPPERSLADE,E01018302,South Cambridgeshire 017E,Investigation complete; no suspect identified
d7470e664f0cb1037d5b4aca160f4d3ffdecaa780329094504aaa3089be2e5aa,2013-09,Cambridgeshire Constabulary,Cambridgeshire Constabulary,-0.250717,52.588455,On or near HARRIS STREET,E01015603,Peterborough 010A,Investigation complete; no suspect identified
69d116fcdd6f65c7864f90b153b40a9a6c6996c24eb73f76b2df256e62698a8f,2013-09,Cambridgeshire Constabulary,Cambridgeshire Constabulary,0.154265,52.239367,On or near Supermarket,E01018274,South Cambridgeshire 007C,Investigation complete; no suspect identified
ff0a50e4ca75b930b0a4db499ee850dcf9384dabb5e4e158bbb20aa24a828a0f,2013-09,Cambridgeshire Constabulary,Cambridgeshire Constabulary,0.265719,52.192571,On or near HIGH STREET,E01018296,South Cambridgeshire 011F,Investigation complete; no suspect identified
8318a7bbe9f38036677de201b0a526a588a98475355552600f88ca5ce64e6d32,2013-09,Cambridgeshire Constabulary,Cambridgeshire Constabulary,0.159745,52.103541,On or near DUXFORD ROAD,E01018239,South Cambridgeshire 017B,Investigation complete; no suspect identified
6f15492ab61c665945d07a8a3110180371b1ea6eff739d448d9c607910ed114a,2013-09,Cambridgeshire Constabulary,Cambridgeshire Constabulary,0.161399,52.103017,On or near KNIGHT'S ORCHARD,E01018239,South Cambridgeshire 017B,Investigation complete; no suspect identified
458ab000270392bf671ba4794c192bcca89d76d3bd4b75ba53922b6fa88be779,2013-09,Cambridgeshire Constabulary,Cambridgeshire Constabulary,-0.073201,52.323091,On or near MARKET LANE,E01018168,Huntingdonshire 013C,Investigation complete; no suspect identified
a0021bd36b5a2c1d5dbbe0d8d5e454d1f52b91c3ac26fabe8022dd4a9959cc1c,2013-09,Cambridgeshire Constabulary,Cambridgeshire Constabulary,0.153673,52.241653,On or near THE SYCAMORES,E01018274,South Cambridgeshire 007C,Investigation complete; no suspect identified
e190030733a869832e11394d9b72f3325a7fd1ae91dc73ff05c75dd06cc3d23d,2013-09,Cambridgeshire Constabulary,Cambridgeshire Constabulary,-0.268653,52.541624,On or near ILEX CLOSE,E01033175,Peterborough 023B,Investigation complete; no suspect identified
543f30a4bf7ab6a7bdd4a0c538b63f89500c0a26470642cd80c6945ee7285949,2013-09,Cambridgeshire Constabulary,Cambridgeshire Constabulary,-0.111752,52.544656,On or near Park/Open Space,E01018059,Fenland 008B,Investigation complete; no suspect identified
1c602bafa45a1fd152e45ad4536e7b1e133ef19b7ef890c1e18ec4bb66e6961e,2013-09,Cambridgeshire Constabulary,Cambridgeshire Constabulary,0.092468,52.651006,On or near WALNUT CLOSE,E01018092,Fenland 004F,Investigation complete; no suspect identified
c5e22ebc22b1c5acd80c3a6ca26d018c4900e58f8456ab169f02001e9fbbc902,2013-09,Cambridgeshire Constabulary,Cambridgeshire Constabulary,-0.243649,52.575080,On or near Shopping Area,E01015602,Peterborough 014C,Investigation complete; no suspect identified
22d7ca82a0baf473075dcfb169619f04ed19ae3707349a0a704d5d79bf7e9227,2013-09,Cambridgeshire Constabulary,Cambridgeshire Constabulary,0.179836,52.210923,On or near Parking Area,E01018286,South Cambridgeshire 011D,Investigation complete; no suspect identified
67875c25c0d2f63162da17f5f185d1374dc8400e692d3c5b9c209f63c67cf38a,2013-09,Cambridgeshire Constabulary,Cambridgeshire Constabulary,-0.322629,52.531082,On or near Petrol Station,E01018127,Huntingdonshire 002A,Investigation complete; no suspect identified
5f63f68cbfb72b58d3fb95b7bc4067141a65947b00a8518c559bff62b85c28d2,2013-09,Cambridgeshire Constabulary,Cambridgeshire Constabulary,-0.241204,52.232337,On or near BAWLINS,E01018135,Huntingdonshire 018A,Investigation complete; no suspect identified
f8698c7e22d1634fd4636e75524d3f3d69f6094a110d139703bcee7a1335055f,2013-09,Cambridgeshire Constabulary,Cambridgeshire Constabulary,0.053647,52.121695,On or near BARRINGTON ROAD,E01018240,South Cambridgeshire 014A,Investigation complete; no suspect identified
36e4fbee6a68de72b8329ed45bf1078313869cacaceced4cba361295bb5383c7,2013-09,Cambridgeshire Constabulary,Cambridgeshire Constabulary,-0.241286,52.574020,On or near MIDGATE,E01015599,Peterborough 014A,Investigation complete; no suspect identified
8a8c0716b4b9cbeea54410da01270ea0b4cd56b552de36c2a81b60095072ad90,2013-09,Cambridgeshire Constabulary,Cambridgeshire Constabulary,-0.117444,52.563952,On or near KINGFISHER ROAD,E01018058,Fenland 008A,Investigation complete; no suspect identified
d0a1fd8e5c821c0acc5e9a77e3318165ba33be7141b955ddc0c9bfc20d526452,2013-09,Cambridgeshire Constabulary,Cambridgeshire Constabulary,0.244134,52.400482,On or near COLLIER CLOSE,E01033425,East Cambridgeshire 004F,Investigation complete; no suspect identified
5e366d10e115228d37512566a935abd8be07fc37ce99312b5b78be5c6d4fb992,2013-09,Cambridgeshire Constabulary,Cambridgeshire Constabulary,-0.245640,52.574381,On or near QUEENSGATE SHOPPING CENTRE,E01015599,Peterborough 014A,Investigation complete; no suspect identified
3dd5b308b11f7b5d3afc762916c013e30180aa6465e46687c7e0e95523621ac2,2013-09,Cambridgeshire Constabulary,Cambridgeshire Constabulary,0.111338,52.220289,On or near Supermarket,E01017949,Cambridge 002A,Investigation complete; no suspect identified
f556de93a49a7ecb803d40ac876bdb2e14365c7b7baf17aa5e2792f95f9d85c1,2013-09,Cambridgeshire Constabulary,Cambridgeshire Constabulary,-0.190958,52.156741,On or near AVENELLS WAY,E01018246,South Cambridgeshire 013B,Investigation complete; no suspect identified
